EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
4.768,19.996,6.016,8.477,10.086,5.893,8.901,8.767,-0.148,0.984,-0.017,1.282,1.862,-0.031,93.333,109265.000,1.000
3.427,20.220,5.016,8.299,10.093,5.748,8.321,8.473,-0.149,0.985,-0.021,1.373,1.923,0.061,93.333,109266.000,1.000
2.503,20.841,3.658,7.348,8.756,4.364,7.153,6.425,-0.153,0.986,-0.018,1.343,1.801,-0.031,93.333,109267.000,1.000
2.225,21.624,2.729,6.582,8.011,3.534,6.193,4.791,-0.156,0.989,-0.018,1.312,1.678,-0.183,93.333,109268.000,1.000
2.312,21.738,2.154,6.133,8.126,3.719,5.389,4.075,-0.157,0.994,-0.021,1.221,1.434,-0.305,93.333,109269.000,1.000
2.563,20.727,1.189,5.270,7.157,3.317,4.285,2.566,-0.156,0.994,-0.017,1.129,1.251,-0.366,93.333,109270.000,1.000
3.022,19.153,-0.105,3.978,4.643,1.795,3.110,-0.125,-0.154,0.991,-0.019,0.854,1.190,-0.519,93.333,109271.000,1.000
3.527,17.825,-0.910,3.054,2.612,0.814,2.309,-2.190,-0.151,0.990,-0.021,0.793,1.099,-0.549,93.333,109272.000,1.000
3.565,16.773,-1.225,2.468,1.939,1.092,1.392,-3.087,-0.147,0.990,-0.020,0.702,1.129,-0.549,93.333,109273.000,1.000
2.868,15.505,-1.990,1.146,0.830,0.757,-0.538,-4.690,-0.146,0.989,-0.019,0.610,1.068,-0.519,93.333,109274.000,1.000
1.839,13.966,-3.373,-1.146,-1.682,-1.570,-3.215,-7.689,-0.147,0.988,-0.018,0.671,1.038,-0.458,93.333,109275.000,1.000
1.066,12.646,-4.290,-3.112,-3.637,-4.327,-5.230,-9.759,-0.147,0.988,-0.020,0.549,1.160,-0.427,93.333,109276.000,1.000
0.632,11.894,-4.122,-3.825,-3.403,-5.525,-5.729,-9.130,-0.146,0.988,-0.015,0.702,1.160,-0.397,93.333,109277.000,1.000
0.211,11.627,-3.698,-4.046,-2.479,-5.730,-5.255,-7.454,-0.148,0.989,-0.017,0.641,1.068,-0.214,93.333,109278.000,1.000
-0.387,11.690,-3.890,-4.774,-2.856,-6.389,-4.769,-6.984,-0.149,0.990,-0.018,0.610,1.190,-0.153,93.333,109279.000,1.000
-1.047,12.040,-4.299,-5.605,-3.783,-6.975,-4.624,-7.195,-0.150,0.988,-0.018,0.580,1.190,0.061,93.333,109280.000,1.000
-1.570,12.500,-4.250,-5.695,-3.644,-6.237,-4.809,-6.590,-0.150,0.988,-0.018,0.610,1.190,0.214,93.333,109281.000,1.000
-1.816,12.720,-4.097,-5.343,-3.122,-4.890,-5.309,-5.788,-0.149,0.988,-0.020,0.580,1.190,0.275,93.333,109282.000,1.000
-1.722,12.575,-4.412,-5.244,-3.671,-4.464,-5.693,-5.978,-0.151,0.987,-0.020,0.610,1.160,0.244,93.333,109283.000,1.000
-1.405,12.249,-4.742,-5.034,-4.376,-4.478,-5.127,-6.019,-0.153,0.988,-0.017,0.610,1.099,0.366,93.333,109284.000,1.000
-1.162,11.839,-4.358,-3.977,-3.386,-3.397,-3.426,-4.116,-0.151,0.989,-0.015,0.580,1.068,0.366,93.333,109285.000,1.000
-1.041,11.354,-3.491,-2.329,-1.303,-1.621,-1.433,-1.148,-0.152,0.989,-0.018,0.549,0.916,0.244,93.333,109286.000,1.000
-0.614,11.148,-2.745,-0.794,-0.145,-0.862,0.130,0.615,-0.153,0.989,-0.013,0.488,0.763,0.122,93.333,109287.000,1.000
0.511,11.735,-1.906,0.750,0.197,-0.982,1.476,1.187,-0.152,0.990,-0.016,0.458,0.702,0.183,93.333,109288.000,1.000
2.206,13.141,-0.377,2.815,1.496,-0.171,2.957,2.316,-0.149,0.989,-0.016,0.519,0.732,0.214,93.333,109289.000,1.000
4.104,14.868,1.623,4.982,3.681,1.747,4.185,3.903,-0.149,0.988,-0.016,0.458,0.641,0.183,93.333,109290.000,1.000
6.083,16.497,3.363,6.286,4.881,2.946,4.589,4.084,-0.147,0.988,-0.016,0.488,0.671,0.244,93.333,109291.000,1.000
8.199,17.970,4.928,6.869,4.911,2.861,4.346,2.820,-0.146,0.989,-0.018,0.488,0.610,0.336,93.333,109292.000,1.000
10.354,19.245,7.065,7.922,5.604,3.026,4.040,2.237,-0.145,0.991,-0.017,0.366,0.702,0.336,93.333,109293.000,1.000
12.436,20.146,9.843,9.947,7.386,4.025,3.824,3.088,-0.143,0.990,-0.017,0.427,0.793,0.275,93.333,109294.000,1.000
14.677,20.742,12.585,12.297,8.524,4.361,3.588,3.827,-0.142,0.990,-0.017,0.488,0.885,0.244,93.333,109295.000,1.000
17.377,21.429,15.032,14.462,8.409,3.349,3.516,3.738,-0.141,0.990,-0.013,0.366,0.916,0.275,93.333,109296.000,1.000
20.305,22.377,17.442,16.538,8.671,2.523,3.818,4.171,-0.143,0.990,-0.014,0.397,0.946,0.244,93.333,109297.000,1.000
22.687,23.179,19.443,18.147,10.020,2.911,4.172,5.616,-0.141,0.990,-0.018,0.549,1.007,0.244,93.333,109298.000,1.000
23.826,23.331,20.013,18.230,10.759,3.308,4.125,6.322,-0.143,0.989,-0.016,0.458,1.007,0.183,93.333,109299.000,1.000
23.607,22.930,19.047,16.681,9.984,2.805,4.001,5.438,-0.144,0.987,-0.014,0.397,1.129,0.275,93.333,109300.000,1.000
22.456,22.595,17.908,15.049,9.664,2.846,4.682,4.946,-0.145,0.989,-0.015,0.366,1.251,0.122,93.333,109301.000,1.000
21.016,22.815,17.782,14.758,11.567,4.905,6.430,6.533,-0.145,0.989,-0.016,0.305,1.251,0.061,93.333,109302.000,1.000
19.959,23.710,18.461,15.608,14.435,7.977,8.674,8.962,-0.145,0.990,-0.014,0.305,1.221,0.031,93.333,109303.000,1.000
19.762,25.242,19.330,16.747,16.347,10.357,10.973,10.533,-0.144,0.990,-0.015,0.214,1.251,-0.092,93.333,109304.000,1.000
20.317,27.165,20.447,18.027,17.727,12.258,13.340,11.906,-0.144,0.989,-0.019,0.336,1.373,-0.214,93.333,109305.000,1.000
20.961,28.881,21.879,19.484,19.664,14.504,15.562,14.203,-0.144,0.989,-0.015,0.275,1.404,-0.214,93.333,109306.000,1.000
21.116,29.811,22.893,20.414,21.126,16.094,16.956,16.197,-0.143,0.987,-0.013,0.214,1.495,-0.305,93.333,109307.000,1.000
20.681,29.866,22.772,20.140,20.508,15.443,17.020,15.968,-0.143,0.985,-0.014,0.214,1.526,-0.366,93.333,109308.000,1.000
19.812,29.328,21.890,19.205,18.641,13.143,15.945,14.123,-0.143,0.987,-0.011,0.275,1.434,-0.427,93.333,109309.000,1.000
18.731,28.464,21.152,18.753,17.639,11.181,14.336,12.839,-0.144,0.987,-0.015,0.214,1.465,-0.580,93.333,109310.000,1.000
17.851,27.552,20.806,19.064,17.627,10.018,12.744,12.567,-0.145,0.988,-0.012,0.275,1.495,-0.519,93.333,109311.000,1.000
17.709,27.085,20.661,19.732,17.336,8.815,11.765,12.360,-0.147,0.987,-0.011,0.305,1.434,-0.610,93.333,109312.000,1.000
18.482,27.555,21.028,20.870,17.196,8.059,12.061,12.698,-0.147,0.987,-0.007,0.336,1.465,-0.610,93.333,109313.000,1.000
