EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
4816.425,4800.975,2997.077,4195.529,4836.711,4958.188,4876.855,4152.552,-0.115,0.742,-0.524,0.000,0.000,0.000,80.000,1.000,1.000
33953.857,33173.372,18941.820,27492.964,33878.490,34854.801,34234.425,27947.300,-0.112,0.743,-0.535,0.000,0.000,0.000,80.000,2.000,1.000
113412.603,107777.771,55277.241,83951.468,112755.504,116568.172,114482.074,88894.880,-0.112,0.744,-0.539,0.000,0.000,0.000,80.000,3.000,1.000
244127.969,222604.490,99697.946,161496.608,242269.427,251996.898,247485.373,181740.813,-0.112,0.743,-0.541,0.000,0.000,0.000,80.000,4.000,1.000
389736.099,336449.833,121527.063,226646.639,387197.619,405169.039,397916.383,275892.915,-0.110,0.746,-0.543,0.000,0.000,0.000,80.000,5.000,1.000
503049.860,409750.026,92543.672,260552.968,501842.454,527180.242,517745.448,341797.173,-0.110,0.743,-0.541,4.089,5.005,-2.228,80.000,6.000,1.000
557407.227,436524.363,19338.123,277936.708,559179.227,587429.531,576918.398,374242.089,-0.110,0.742,-0.543,1.251,2.075,-0.702,80.000,7.000,1.000
555324.174,437523.477,-38020.852,307460.276,559722.802,585317.738,574846.079,390503.632,-0.110,0.744,-0.544,0.397,1.495,-0.397,80.000,8.000,1.000
518246.233,434663.243,-6164.805,360984.322,523399.471,542652.232,532945.249,409104.401,-0.111,0.745,-0.543,0.000,1.251,-0.366,80.000,9.000,1.000
471359.960,436799.966,133091.315,425242.408,475352.044,487742.126,479018.417,433987.949,-0.112,0.743,-0.542,-0.122,1.221,-0.336,80.000,10.000,1.000
432536.820,441442.596,327740.693,476781.633,434413.884,441919.073,434015.713,456938.248,-0.112,0.743,-0.544,-0.183,1.251,-0.214,80.000,11.000,1.000
408391.365,442305.668,500232.235,499472.414,408319.817,413589.991,406405.377,468115.552,-0.112,0.744,-0.544,-0.183,1.312,-0.183,80.000,12.000,1.000
395461.459,434391.331,596238.489,491103.049,394281.467,398421.339,392768.149,462227.025,-0.111,0.743,-0.542,-0.153,1.190,-0.244,80.000,13.000,1.000
382388.480,413433.184,602363.085,458187.341,380993.607,382293.813,380257.383,436667.315,-0.111,0.744,-0.543,-0.031,1.038,-0.275,80.000,14.000,1.000
353675.424,373723.417,535947.634,406728.264,352586.772,347756.121,351471.303,388040.417,-0.113,0.743,-0.543,-0.153,1.160,-0.183,80.000,15.000,1.000
