EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
26.695,10.375,11.424,0.188,-5.500,-2.832,-8.492,-9.453,-0.117,0.726,-0.560,0.061,1.068,-0.610,80.000,4369.000,1.000
26.699,9.992,12.598,2.150,-4.513,-2.295,-7.418,-7.405,-0.115,0.726,-0.560,0.031,1.007,-0.641,80.000,4370.000,1.000
26.417,9.039,13.407,4.536,-3.470,-2.568,-6.126,-4.834,-0.117,0.726,-0.561,0.031,1.007,-0.580,80.000,4371.000,1.000
26.317,7.756,13.925,7.408,-2.517,-3.790,-4.998,-2.294,-0.117,0.726,-0.561,-0.031,1.007,-0.580,80.000,4372.000,1.000
26.430,6.403,14.177,10.344,-1.595,-5.706,-4.084,-0.109,-0.116,0.727,-0.558,0.000,0.946,-0.580,80.000,4373.000,1.000
26.639,5.275,14.121,12.543,-0.596,-7.869,-3.178,1.572,-0.116,0.728,-0.561,0.031,0.916,-0.519,80.000,4374.000,1.000
27.198,4.798,13.874,13.631,0.636,-9.726,-1.937,2.819,-0.117,0.727,-0.562,0.061,0.977,-0.549,80.000,4375.000,1.000
28.564,5.389,13.792,14.090,2.313,-10.570,-0.020,3.958,-0.118,0.728,-0.561,0.061,0.885,-0.458,80.000,4376.000,1.000
30.845,7.170,14.193,14.716,4.535,-9.697,2.634,5.339,-0.115,0.726,-0.560,0.183,0.916,-0.336,80.000,4377.000,1.000
33.614,9.825,15.029,15.811,7.102,-6.842,5.604,6.964,-0.117,0.725,-0.560,0.214,0.885,-0.305,80.000,4378.000,1.000
36.210,12.753,15.888,16.997,9.545,-2.482,8.125,8.405,-0.115,0.726,-0.563,0.244,0.793,-0.214,80.000,4379.000,1.000
38.079,15.372,16.390,17.682,11.364,2.367,9.584,9.164,-0.116,0.725,-0.559,0.336,0.854,-0.214,80.000,4380.000,1.000
38.964,17.314,16.511,17.557,12.273,6.661,9.925,9.052,-0.116,0.726,-0.560,0.397,0.854,-0.214,80.000,4381.000,1.000
38.891,18.359,16.405,16.645,12.184,9.587,9.501,8.208,-0.115,0.727,-0.560,0.549,0.824,-0.183,80.000,4382.000,1.000
37.912,18.211,15.929,14.989,10.986,10.554,8.569,6.869,-0.114,0.727,-0.558,0.549,0.824,-0.031,80.000,4383.000,1.000
35.814,16.464,14.528,12.465,8.487,9.289,7.058,5.212,-0.115,0.728,-0.560,0.519,0.916,-0.061,80.000,4384.000,1.000
32.284,12.966,11.785,8.962,4.731,6.115,4.844,3.365,-0.115,0.727,-0.560,0.549,0.946,0.061,80.000,4385.000,1.000
27.483,8.253,8.069,4.724,0.300,1.998,2.132,1.496,-0.114,0.727,-0.560,0.519,0.946,0.000,80.000,4386.000,1.000
22.183,3.410,4.386,0.372,-3.882,-1.874,-0.516,-0.205,-0.112,0.729,-0.558,0.549,1.007,-0.092,80.000,4387.000,1.000
17.044,-0.669,1.499,-3.441,-7.145,-4.782,-2.563,-1.601,-0.113,0.727,-0.560,0.702,1.129,-0.061,80.000,4388.000,1.000
11.944,-3.842,-0.707,-6.349,-9.443,-6.786,-3.885,-2.636,-0.115,0.727,-0.559,0.671,1.129,-0.031,80.000,4389.000,1.000
6.337,-6.554,-2.932,-8.273,-11.139,-8.391,-4.749,-3.367,-0.114,0.728,-0.561,0.702,1.160,-0.122,80.000,4390.000,1.000
0.101,-9.232,-5.702,-9.289,-12.559,-9.936,-5.472,-3.965,-0.114,0.727,-0.558,0.763,1.221,-0.092,80.000,4391.000,1.000
-6.340,-11.907,-8.978,-9.610,-13.809,-11.355,-6.195,-4.620,-0.114,0.728,-0.559,0.793,1.312,-0.244,80.000,4392.000,1.000
-12.425,-14.163,-12.191,-9.416,-14.756,-12.310,-6.880,-5.335,-0.113,0.727,-0.558,0.763,1.251,-0.244,80.000,4393.000,1.000
-17.470,-15.214,-14.399,-8.583,-14.997,-12.376,-7.407,-5.806,-0.114,0.727,-0.557,0.824,1.343,-0.214,80.000,4394.000,1.000
-20.603,-14.300,-14.664,-6.841,-14.040,-11.220,-7.686,-5.636,-0.115,0.726,-0.558,0.885,1.404,-0.244,80.000,4395.000,1.000
-21.279,-11.275,-12.661,-4.260,-11.677,-8.732,-7.694,-4.684,-0.113,0.727,-0.558,0.916,1.434,-0.244,80.000,4396.000,1.000
-19.955,-6.878,-9.091,-1.512,-8.262,-5.167,-7.427,-3.266,-0.114,0.728,-0.559,0.946,1.404,-0.366,80.000,4397.000,1.000
-17.955,-2.400,-5.415,0.410,-4.636,-1.217,-6.962,-2.039,-0.115,0.729,-0.557,0.916,1.404,-0.488,80.000,4398.000,1.000
-16.487,1.141,-2.810,0.967,-1.575,2.244,-6.418,-1.521,-0.115,0.729,-0.559,1.068,1.343,-0.549,80.000,4399.000,1.000
-15.904,3.577,-1.344,0.565,0.699,4.597,-5.793,-1.698,-0.115,0.726,-0.559,1.068,1.434,-0.488,80.000,4400.000,1.000
-15.977,5.249,-0.370,0.000,2.323,5.589,-5.074,-2.239,-0.116,0.726,-0.560,1.190,1.495,-0.488,80.000,4401.000,1.000
