EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-28.311,-16.707,-15.001,-16.571,-8.888,-5.382,-0.551,-6.963,-0.115,0.761,-0.526,0.427,1.068,-0.275,80.000,13689.000,1.000
-26.678,-14.893,-12.757,-14.369,-5.799,-2.966,3.311,-3.968,-0.115,0.760,-0.523,0.366,1.068,-0.214,80.000,13690.000,1.000
-24.200,-12.004,-9.683,-12.297,-2.442,-1.160,7.492,-0.066,-0.113,0.761,-0.522,0.336,1.129,-0.275,80.000,13691.000,1.000
-20.986,-8.711,-6.236,-10.226,0.695,-0.334,11.052,3.984,-0.114,0.761,-0.526,0.397,1.129,-0.214,80.000,13692.000,1.000
-17.558,-5.602,-2.886,-7.730,3.511,-0.469,13.397,7.622,-0.114,0.760,-0.523,0.488,1.251,-0.275,80.000,13693.000,1.000
-14.512,-3.018,-0.019,-4.804,5.985,-1.345,14.246,10.419,-0.114,0.760,-0.526,0.488,1.190,-0.275,80.000,13694.000,1.000
-12.394,-1.180,1.953,-2.363,7.961,-2.696,13.623,12.129,-0.114,0.757,-0.527,0.549,1.190,-0.183,80.000,13695.000,1.000
-11.768,-0.336,2.613,-1.500,9.304,-4.144,11.995,12.924,-0.115,0.757,-0.525,0.488,1.221,-0.214,80.000,13696.000,1.000
-12.869,-0.555,1.881,-2.653,10.084,-5.193,10.190,13.197,-0.115,0.758,-0.524,0.458,1.282,-0.183,80.000,13697.000,1.000
-15.048,-1.461,0.261,-5.526,10.496,-5.476,8.954,13.072,-0.114,0.757,-0.525,0.488,1.251,-0.275,80.000,13698.000,1.000
-16.995,-2.385,-1.425,-9.173,10.682,-4.941,8.577,12.428,-0.113,0.757,-0.525,0.519,1.251,-0.244,80.000,13699.000,1.000
-17.741,-2.744,-2.605,-12.268,10.647,-3.697,8.874,11.328,-0.114,0.758,-0.525,0.580,1.251,-0.153,80.000,13700.000,1.000
-17.158,-2.252,-3.128,-13.631,10.342,-1.799,9.409,10.109,-0.116,0.757,-0.521,0.671,1.251,-0.122,80.000,13701.000,1.000
-15.559,-0.966,-3.035,-12.828,9.815,0.714,9.809,9.031,-0.114,0.758,-0.522,0.824,1.282,-0.092,80.000,13702.000,1.000
-13.421,0.690,-2.486,-10.466,9.204,3.585,9.947,8.057,-0.114,0.759,-0.525,0.732,1.251,-0.061,80.000,13703.000,1.000
-11.452,1.993,-1.835,-7.728,8.573,6.198,9.847,7.023,-0.116,0.760,-0.523,0.793,1.343,-0.122,80.000,13704.000,1.000
-10.166,2.266,-1.366,-5.351,7.885,7.708,9.475,5.949,-0.115,0.759,-0.522,0.702,1.343,-0.153,80.000,13705.000,1.000
-9.288,1.310,-0.988,-3.172,7.154,7.415,8.748,5.089,-0.113,0.760,-0.523,0.763,1.312,-0.092,80.000,13706.000,1.000
-8.354,-0.637,-0.626,-1.032,6.435,5.097,7.688,4.595,-0.113,0.759,-0.524,0.854,1.404,-0.061,80.000,13707.000,1.000
-7.760,-3.324,-0.778,0.214,5.655,1.139,6.486,4.276,-0.115,0.759,-0.524,0.977,1.373,-0.031,80.000,13708.000,1.000
-8.466,-6.610,-2.129,-0.527,4.693,-3.524,5.439,3.891,-0.114,0.760,-0.524,0.916,1.373,-0.061,80.000,13709.000,1.000
-10.714,-10.145,-4.648,-3.012,3.685,-7.608,4.881,3.567,-0.113,0.759,-0.522,0.885,1.404,0.061,80.000,13710.000,1.000
-13.410,-13.102,-7.327,-5.380,3.120,-9.865,5.125,3.786,-0.113,0.760,-0.524,0.946,1.312,0.122,80.000,13711.000,1.000
-14.903,-14.494,-8.880,-5.585,3.455,-9.612,6.329,4.906,-0.113,0.762,-0.523,0.946,1.282,0.122,80.000,13712.000,1.000
-14.407,-13.892,-8.746,-3.365,4.555,-7.181,8.286,6.683,-0.113,0.760,-0.523,0.977,1.343,0.122,80.000,13713.000,1.000
-12.435,-11.621,-7.299,-0.337,5.757,-3.734,10.454,8.416,-0.113,0.760,-0.524,0.977,1.373,0.031,80.000,13714.000,1.000
-9.927,-8.393,-5.228,2.110,6.593,-0.451,12.343,9.613,-0.115,0.761,-0.523,1.068,1.373,0.000,80.000,13715.000,1.000
-7.645,-5.138,-3.284,3.556,7.034,2.030,13.724,10.196,-0.115,0.762,-0.525,1.007,1.404,0.000,80.000,13716.000,1.000
-6.378,-2.915,-2.410,3.446,7.101,3.639,14.527,10.184,-0.114,0.762,-0.524,1.068,1.434,-0.061,80.000,13717.000,1.000
-6.758,-2.369,-3.344,1.175,6.762,4.751,14.783,9.580,-0.112,0.761,-0.526,0.977,1.312,0.061,80.000,13718.000,1.000
-8.486,-3.153,-5.853,-2.739,6.215,6.017,14.694,8.552,-0.112,0.762,-0.525,1.068,1.343,0.061,80.000,13719.000,1.000
-10.215,-4.028,-8.633,-6.592,5.947,8.060,14.652,7.493,-0.114,0.762,-0.525,0.977,1.465,-0.031,80.000,13720.000,1.000
-10.642,-3.762,-10.153,-8.745,6.349,11.064,14.998,6.807,-0.113,0.760,-0.524,1.068,1.465,-0.031,80.000,13721.000,1.000
-9.469,-1.989,-9.583,-8.557,7.428,14.555,15.767,6.755,-0.114,0.761,-0.525,1.038,1.404,0.061,80.000,13722.000,1.000
-7.176,0.747,-7.021,-6.262,8.935,17.589,16.718,7.481,-0.114,0.762,-0.526,0.977,1.465,0.061,80.000,13723.000,1.000
-4.419,3.496,-3.341,-2.638,10.495,19.161,17.482,8.806,-0.112,0.763,-0.523,1.007,1.526,0.092,80.000,13724.000,1.000
-1.902,5.369,0.087,1.209,11.680,18.760,17.746,10.147,-0.111,0.761,-0.523,0.946,1.526,0.031,80.000,13725.000,1.000
-0.271,5.978,2.111,4.434,12.378,16.987,17.644,11.072,-0.112,0.763,-0.525,0.916,1.526,-0.092,80.000,13726.000,1.000
0.351,5.708,2.560,6.817,13.020,15.416,17.842,11.732,-0.113,0.761,-0.525,0.885,1.556,-0.031,80.000,13727.000,1.000
0.565,5.477,2.243,8.448,14.160,15.413,18.928,12.493,-0.114,0.761,-0.523,0.824,1.526,-0.092,80.000,13728.000,1.000
1.068,6.019,2.153,9.253,15.894,17.030,20.794,13.391,-0.114,0.760,-0.523,0.732,1.495,-0.092,80.000,13729.000,1.000
1.825,7.365,2.666,8.921,17.798,19.097,22.748,14.110,-0.113,0.760,-0.523,0.793,1.495,-0.061,80.000,13730.000,1.000
2.304,8.990,3.551,7.466,19.306,20.233,24.075,14.327,-0.112,0.760,-0.523,0.824,1.556,-0.122,80.000,13731.000,1.000
2.289,10.223,4.432,5.627,19.989,19.606,24.324,13.924,-0.111,0.761,-0.524,0.763,1.526,0.000,80.000,13732.000,1.000
1.943,10.482,4.945,4.295,19.563,17.068,23.282,12.932,-0.113,0.762,-0.524,0.763,1.526,-0.061,80.000,13733.000,1.000
1.393,9.530,4.788,3.793,17.984,13.155,21.034,11.442,-0.115,0.761,-0.523,0.763,1.495,-0.092,80.000,13734.000,1.000
0.656,7.744,3.921,3.906,15.666,9.039,18.111,9.663,-0.113,0.761,-0.524,0.763,1.404,-0.031,80.000,13735.000,1.000
-0.074,6.053,2.732,4.344,13.475,6.074,15.333,7.995,-0.112,0.760,-0.523,0.824,1.465,0.031,80.000,13736.000,1.000
-0.264,5.491,2.019,5.159,12.384,5.116,13.417,6.989,-0.112,0.759,-0.524,0.732,1.465,0.031,80.000,13737.000,1.000
0.655,6.608,2.606,6.701,12.954,6.194,12.711,7.052,-0.111,0.761,-0.525,0.824,1.495,0.031,80.000,13738.000,1.000
2.923,9.269,4.913,9.188,15.127,8.805,13.215,8.139,-0.111,0.762,-0.524,0.824,1.495,0.061,80.000,13739.000,1.000
6.530,13.046,8.953,12.616,18.498,12.345,14.732,9.792,-0.113,0.760,-0.525,0.824,1.434,0.092,80.000,13740.000,1.000
11.224,17.547,14.300,16.626,22.476,16.191,16.856,11.328,-0.114,0.759,-0.523,0.885,1.434,-0.031,80.000,13741.000,1.000
16.192,22.176,19.792,20.075,26.092,19.667,18.894,11.959,-0.114,0.758,-0.526,0.885,1.465,0.031,80.000,13742.000,1.000
20.211,25.967,23.821,21.688,28.270,22.248,20.079,11.176,-0.112,0.756,-0.524,0.977,1.373,0.031,80.000,13743.000,1.000
22.539,28.113,25.453,21.630,28.616,23.845,20.046,9.307,-0.113,0.760,-0.524,1.099,1.465,0.092,80.000,13744.000,1.000
23.282,28.564,25.031,21.379,27.642,24.672,19.036,7.408,-0.112,0.757,-0.522,1.099,1.434,0.092,80.000,13745.000,1.000
22.747,27.796,23.538,21.867,26.084,24.803,17.543,6.480,-0.112,0.758,-0.520,1.160,1.465,0.092,80.000,13746.000,1.000
20.981,26.082,21.708,22.644,24.262,23.995,15.850,6.869,-0.111,0.758,-0.524,1.129,1.556,0.122,80.000,13747.000,1.000
18.176,23.244,19.814,22.752,22.072,21.946,13.899,8.133,-0.112,0.756,-0.522,1.282,1.495,0.122,80.000,13748.000,1.000
15.125,19.287,18.047,21.810,19.471,18.708,11.577,9.404,-0.110,0.754,-0.521,1.343,1.465,0.122,80.000,13749.000,1.000
12.963,15.058,16.872,20.284,16.900,15.012,9.185,10.126,-0.111,0.753,-0.525,1.465,1.648,0.153,80.000,13750.000,1.000
12.497,11.942,16.896,19.082,15.232,12.136,7.598,10.520,-0.111,0.756,-0.526,1.404,1.587,0.092,80.000,13751.000,1.000
13.823,10.874,18.395,19.001,15.218,11.195,7.770,11.244,-0.112,0.758,-0.524,1.495,1.587,0.092,80.000,13752.000,1.000
16.388,11.782,21.053,20.263,16.907,12.387,9.939,12.648,-0.112,0.757,-0.524,1.556,1.556,0.122,80.000,13753.000,1.000
19.350,13.984,24.174,22.347,19.617,14.952,13.349,14.474,-0.111,0.756,-0.524,1.617,1.526,0.153,80.000,13754.000,1.000
21.992,16.806,27.104,24.352,22.382,17.775,16.703,16.086,-0.111,0.757,-0.524,1.709,1.587,0.092,80.000,13755.000,1.000
23.907,19.804,29.383,25.512,24.363,19.934,18.787,16.790,-0.111,0.758,-0.523,1.770,1.740,0.000,80.000,13756.000,1.000
24.935,22.695,30.698,25.416,25.090,20.971,18.980,16.096,-0.111,0.759,-0.525,1.862,1.587,-0.061,80.000,13757.000,1.000
25.111,25.259,30.989,24.235,24.607,20.973,17.549,14.078,-0.110,0.761,-0.526,1.923,1.678,-0.031,80.000,13758.000,1.000
24.612,27.221,30.541,22.658,23.313,20.337,15.388,11.410,-0.110,0.764,-0.527,1.831,1.617,0.000,80.000,13759.000,1.000
23.667,28.158,29.780,21.258,21.537,19.333,13.299,8.869,-0.110,0.765,-0.526,1.831,1.617,-0.092,80.000,13760.000,1.000
22.590,27.708,29.040,20.113,19.458,17.956,11.583,6.910,-0.112,0.763,-0.526,1.770,1.648,-0.092,80.000,13761.000,1.000
21.807,26.029,28.573,19.063,17.386,16.225,10.229,5.691,-0.112,0.765,-0.525,1.678,1.617,-0.183,80.000,13762.000,1.000
21.605,23.872,28.544,18.188,15.787,14.460,9.228,5.196,-0.114,0.765,-0.525,1.648,1.587,-0.336,80.000,13763.000,1.000
22.005,22.110,28.989,18.096,14.973,13.188,8.584,5.254,-0.113,0.765,-0.528,1.587,1.587,-0.336,80.000,13764.000,1.000
22.978,21.302,29.887,19.429,14.991,12.832,8.199,5.624,-0.113,0.765,-0.526,1.495,1.434,-0.397,80.000,13765.000,1.000
24.511,21.574,31.172,21.755,15.705,13.461,7.942,6.152,-0.111,0.766,-0.524,1.465,1.373,-0.458,80.000,13766.000,1.000
26.290,22.574,32.559,23.650,16.809,14.772,7.784,6.857,-0.110,0.765,-0.528,1.404,1.282,-0.549,80.000,13767.000,1.000
27.636,23.584,33.523,24.076,17.871,16.337,7.812,7.813,-0.111,0.764,-0.525,1.251,1.312,-0.488,80.000,13768.000,1.000
