EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
4594.135,-3322.482,-571.087,-798.397,1439.334,3327.472,1797.939,310.825,-0.161,0.980,0.061,0.000,0.000,0.000,93.333,1.000,1.000
32405.255,-25928.291,-7815.367,-7153.035,9340.770,23237.346,11771.075,1184.775,-0.156,0.989,0.049,0.000,0.000,0.000,93.333,2.000,1.000
108424.139,-93873.325,-44220.198,-25188.627,29747.395,79166.528,34794.792,3057.787,-0.156,0.991,0.048,0.000,0.000,0.000,93.333,3.000,1.000
234411.944,-209968.856,-147487.169,-52927.510,64699.116,176382.191,58907.065,2797.436,-0.156,0.992,0.044,0.000,0.000,0.000,93.333,4.000,1.000
376901.870,-321628.813,-336926.773,-73199.968,115138.429,294655.930,59958.529,-7240.633,-0.154,0.994,0.043,0.000,0.000,0.000,93.333,5.000,1.000
490400.401,-344993.531,-571587.167,-62300.426,183471.123,399185.664,33412.220,-30011.852,-0.153,0.994,0.047,2.563,1.678,-2.808,93.333,6.000,1.000
546443.171,-232566.230,-747611.525,-6635.455,266669.987,462361.279,11582.797,-49896.902,-0.153,0.994,0.044,3.204,2.502,-2.411,93.333,7.000,1.000
544475.328,-12508.876,-750868.607,88743.238,351751.178,479528.380,36681.496,-36540.861,-0.153,0.994,0.040,1.587,1.740,-0.275,93.333,8.000,1.000
504116.832,235809.267,-534726.359,205265.913,422393.811,466525.055,121764.390,29962.256,-0.152,0.995,0.037,0.977,1.434,0.458,93.333,9.000,1.000
448021.602,436007.221,-160318.604,320168.909,467917.951,444048.280,244656.737,139781.527,-0.151,0.993,0.041,0.732,1.404,0.732,93.333,10.000,1.000
387733.234,549995.023,239965.093,412135.300,486203.151,425346.897,369419.397,260874.161,-0.152,0.993,0.038,0.732,1.373,0.732,93.333,11.000,1.000
322287.607,580458.338,542395.783,466646.028,481919.208,413819.035,465333.995,362468.629,-0.151,0.994,0.041,0.702,1.373,0.702,93.333,12.000,1.000
247509.950,554954.722,689443.974,481244.427,463428.409,406561.473,515942.935,429812.243,-0.152,0.992,0.041,0.702,1.404,0.793,93.333,13.000,1.000
164654.284,507087.882,696053.731,465323.710,439443.883,399037.409,521909.918,462588.445,-0.151,0.992,0.042,0.671,1.404,0.732,93.333,14.000,1.000
81392.745,462582.893,620318.332,434193.741,416354.469,388240.743,497083.126,467867.064,-0.150,0.990,0.042,0.702,1.526,0.610,93.333,15.000,1.000
7243.924,433411.345,525968.421,401915.698,397117.727,373669.263,459852.084,455412.326,-0.150,0.987,0.039,0.671,1.495,0.549,93.333,16.000,1.000
-51401.249,419336.615,455911.852,376739.672,381730.204,356672.090,425061.293,434749.466,-0.149,0.988,0.040,0.732,1.495,0.580,93.333,17.000,1.000
-93436.173,412816.320,424005.468,360377.008,368584.095,339182.842,399959.146,413012.197,-0.148,0.990,0.040,0.885,1.617,0.549,93.333,18.000,1.000
-121889.978,403102.550,421728.580,350105.832,355866.531,322675.115,384584.227,393979.785,-0.149,0.988,0.038,0.916,1.648,0.519,93.333,19.000,1.000
-140959.400,380163.029,431268.553,341800.765,342437.704,307721.633,374844.177,378414.202,-0.148,0.990,0.041,1.129,1.770,0.366,93.333,20.000,1.000
-153592.947,339944.789,437059.168,332286.217,328048.559,294112.516,366005.255,365237.637,-0.148,0.989,0.040,1.160,1.770,0.336,93.333,21.000,1.000
-161085.291,286970.502,431582.822,320311.566,313083.554,281259.899,354996.483,352856.391,-0.147,0.988,0.040,1.221,1.923,0.366,93.333,22.000,1.000
-164076.975,231045.564,415334.639,306301.773,298135.431,268600.832,341051.142,340092.890,-0.147,0.987,0.039,1.343,1.923,0.336,93.333,23.000,1.000
-163473.682,181397.611,393355.294,291490.950,283663.610,255826.684,325096.473,326530.420,-0.152,0.984,0.039,1.526,2.075,0.305,93.333,24.000,1.000
-160607.944,142782.130,371219.018,277061.386,269805.240,242910.871,308664.598,312381.452,-0.153,0.985,0.037,1.801,2.106,0.214,93.333,25.000,1.000
-156887.182,114935.801,352420.541,263654.856,256128.789,230004.611,292986.590,298137.290,-0.154,0.988,0.037,1.923,2.197,0.092,93.333,26.000,1.000
-153376.976,94403.223,337714.814,251314.550,241267.417,217298.775,278583.841,284240.579,-0.156,0.991,0.039,1.892,2.167,0.000,93.333,27.000,1.000
-150578.775,77066.001,325900.843,239707.718,223130.121,204924.774,265330.117,270912.343,-0.154,0.995,0.039,1.862,2.136,-0.092,93.333,28.000,1.000
-148464.620,60032.194,315127.701,228419.560,200138.103,192921.144,252766.653,258144.948,-0.154,0.995,0.037,1.740,2.106,-0.214,93.333,29.000,1.000
-146707.225,42283.454,303950.545,217163.337,172444.715,181253.521,240343.037,245796.479,-0.156,0.998,0.038,1.770,2.075,-0.214,93.333,30.000,1.000
-144955.742,24249.058,291784.743,205850.446,141930.886,169857.804,227278.383,233704.741,-0.153,1.001,0.036,1.678,2.075,-0.275,93.333,31.000,1.000
-143003.501,6939.413,278807.079,194547.127,111168.053,158678.594,212291.846,221763.897,-0.152,0.998,0.037,1.526,2.014,-0.244,93.333,32.000,1.000
-140806.420,-8774.756,265570.385,183382.294,82307.027,147688.332,193943.931,209945.935,-0.153,0.997,0.039,1.404,1.953,-0.275,93.333,33.000,1.000
-138425.700,-22509.609,252613.010,172465.832,56482.177,136886.740,171582.623,198280.077,-0.154,0.998,0.037,1.190,2.045,-0.305,93.333,34.000,1.000
-135967.672,-34388.672,240232.741,161848.159,33765.835,126287.467,145920.988,186815.991,-0.155,1.000,0.036,1.099,1.831,-0.214,93.333,35.000,1.000
-133530.459,-44848.685,228455.503,151521.689,13504.530,115787.093,118702.551,175593.143,-0.154,0.998,0.039,1.099,1.892,-0.214,93.333,36.000,1.000
-131158.428,-54359.429,217133.375,141446.586,-5155.666,104816.227,91882.583,164626.944,-0.155,0.997,0.037,1.038,1.862,-0.275,93.333,37.000,1.000
-128835.214,-63220.628,206077.462,131579.925,-22822.680,92209.537,66926.884,153910.841,-0.154,0.998,0.039,1.007,1.831,-0.092,93.333,38.000,1.000
-126522.515,-71534.351,195154.517,121894.367,-39720.843,76806.430,44471.691,143426.978,-0.154,0.998,0.037,1.007,1.740,-0.092,93.333,39.000,1.000
-124197.465,-79291.246,184320.544,112382.586,-55824.116,58310.823,24361.812,133157.399,-0.154,0.994,0.038,1.038,1.678,0.031,93.333,40.000,1.000
-121852.002,-86445.724,173602.518,103051.328,-71022.282,37565.632,5998.175,123090.756,-0.155,0.993,0.041,1.099,1.709,0.122,93.333,41.000,1.000
-119478.679,-92949.708,163057.059,93911.841,-85197.215,16118.351,-11219.305,113223.475,-0.154,0.989,0.040,1.129,1.648,0.031,93.333,42.000,1.000
-117076.775,-98789.036,152733.153,84972.261,-98278.245,-4507.081,-27635.633,103557.114,-0.156,0.988,0.036,1.068,1.587,0.214,93.333,43.000,1.000
-114662.859,-104015.272,142653.244,76234.419,-110308.799,-23380.288,-43353.303,94094.603,-0.155,0.987,0.034,1.099,1.526,0.244,93.333,44.000,1.000
-112256.955,-108722.155,132813.390,67694.659,-121434.222,-40310.519,-58344.840,84837.421,-0.156,0.987,0.037,1.312,1.587,0.336,93.333,45.000,1.000
-109861.778,-112984.829,123194.671,59346.675,-131794.089,-55613.385,-72519.019,75784.544,-0.156,0.990,0.041,1.465,1.556,0.427,93.333,46.000,1.000
-107468.741,-116838.964,113776.408,51184.349,-141452.438,-69765.741,-85775.002,66889.184,-0.156,0.991,0.040,1.556,1.495,0.488,93.333,47.000,1.000
-105078.217,-120311.316,104544.788,43203.358,-150439.563,-83168.410,-98087.470,57888.001,-0.156,0.992,0.039,1.587,1.434,0.549,93.333,48.000,1.000
-102698.184,-123435.337,95495.053,35401.370,-158802.865,-96044.588,-109539.000,48134.545,-0.156,0.994,0.038,1.587,1.343,0.488,93.333,49.000,1.000
-100327.217,-126228.980,86628.922,27777.309,-166578.833,-108423.346,-120243.488,36801.864,-0.155,0.994,0.040,1.617,1.343,0.397,93.333,50.000,1.000
-97956.130,-128688.925,77950.289,20330.387,-173761.227,-120201.647,-130264.877,23424.629,-0.155,0.994,0.041,1.587,1.251,0.427,93.333,51.000,1.000
-95586.024,-130823.392,69461.730,13059.408,-180346.420,-131266.553,-139635.023,8236.179,-0.156,0.993,0.038,1.648,1.221,0.549,93.333,52.000,1.000
-93229.021,-132669.055,61163.005,5962.537,-186383.387,-141585.176,-148404.625,-7969.452,-0.156,0.994,0.038,1.587,1.190,0.610,93.333,53.000,1.000
-90889.570,-134261.320,53051.369,-962.560,-191936.789,-151194.871,-156622.630,-24200.070,-0.155,0.991,0.040,1.617,1.129,0.580,93.333,54.000,1.000
-88559.327,-135608.257,45122.848,-7718.412,-197025.736,-160147.770,-164290.007,-39604.798,-0.155,0.991,0.040,1.648,1.038,0.427,93.333,55.000,1.000
-86233.987,-136710.442,37373.524,-14307.471,-201643.906,-168495.264,-171388.319,-53727.022,-0.154,0.991,0.039,1.740,0.916,0.336,93.333,56.000,1.000
-83922.247,-137589.210,29800.283,-20731.982,-205820.174,-176301.479,-177944.376,-66581.450,-0.153,0.993,0.041,1.770,0.916,0.397,93.333,57.000,1.000
-81632.626,-138275.867,22400.920,-26993.985,-209610.184,-183626.256,-184020.985,-78476.257,-0.151,0.995,0.040,1.678,0.977,0.336,93.333,58.000,1.000
-79362.575,-138785.139,15173.817,-33095.400,-213038.459,-190491.383,-189653.120,-89723.309,-0.151,0.993,0.039,1.556,1.068,0.275,93.333,59.000,1.000
-77107.516,-139119.064,8099.381,-39054.695,-216097.736,-196890.111,-194841.438,-100492.701,-0.149,0.992,0.039,1.526,0.977,0.305,93.333,60.000,1.000
-74870.686,-139288.306,1081.373,-44962.114,-218802.162,-202829.147,-199604.852,-110851.495,-0.149,0.992,0.038,1.526,1.038,0.305,93.333,61.000,1.000
-72655.802,-139309.419,-6086.468,-51015.549,-221193.011,-208336.427,-203988.365,-120811.688,-0.150,0.992,0.038,1.526,1.068,0.183,93.333,62.000,1.000
-70458.533,-139186.567,-13628.684,-57438.869,-223288.590,-213431.022,-208012.849,-130316.543,-0.149,0.993,0.037,1.556,1.190,0.214,93.333,63.000,1.000
-68274.410,-138916.102,-21629.124,-64327.101,-225075.352,-218116.706,-211664.939,-139272.219,-0.149,0.991,0.039,1.587,1.221,0.122,93.333,64.000,1.000
-66108.610,-138507.502,-29961.300,-71568.996,-226558.578,-222410.272,-214949.295,-147648.067,-0.150,0.990,0.038,1.526,1.251,0.061,93.333,65.000,1.000
