,EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
0,-28.728,-41.224,-31.771,-24.185,-25.093,-32.805,-15.973,-16.912,-0.095,0.795,-0.485,0.732,1.465,0.0,80.0,4097.0,1.0
1,-26.778,-38.068,-30.278,-21.686,-22.556,-31.363,-15.131,-16.989,-0.095,0.795,-0.487,0.702,1.556,-0.031,80.0,4098.0,1.0
2,-25.134,-34.407,-28.811,-20.047,-20.877,-30.018,-14.506,-16.962,-0.095,0.794,-0.486,0.732,1.556,0.0,80.0,4099.0,1.0
3,-23.59,-31.034,-27.514,-19.625,-20.721,-29.472,-14.781,-17.311,-0.095,0.795,-0.484,0.793,1.556,0.0,80.0,4100.0,1.0
4,-21.769,-28.344,-26.388,-20.031,-21.784,-29.721,-15.924,-18.058,-0.096,0.794,-0.485,0.671,1.556,-0.031,80.0,4101.0,1.0
5,-19.857,-26.483,-25.573,-20.747,-23.155,-30.176,-17.298,-18.886,-0.095,0.792,-0.486,0.702,1.526,-0.031,80.0,4102.0,1.0
6,-18.386,-25.459,-25.241,-21.006,-23.915,-30.14,-18.185,-19.482,-0.094,0.793,-0.483,0.671,1.434,-0.092,80.0,4103.0,1.0
7,-17.564,-25.096,-25.379,-20.093,-23.519,-29.265,-18.201,-19.589,-0.094,0.793,-0.487,0.702,1.465,-0.061,80.0,4104.0,1.0
8,-17.439,-25.183,-25.965,-18.326,-22.07,-27.784,-17.417,-18.985,-0.094,0.792,-0.488,0.702,1.404,-0.031,80.0,4105.0,1.0
9,-18.371,-25.728,-27.117,-16.838,-20.303,-26.372,-16.228,-17.567,-0.094,0.793,-0.489,0.763,1.404,-0.031,80.0,4106.0,1.0
10,-20.563,-26.796,-28.807,-16.294,-19.1,-25.595,-15.067,-15.536,-0.094,0.792,-0.489,0.793,1.434,-0.031,80.0,4107.0,1.0
11,-23.327,-28.161,-30.638,-16.625,-18.926,-25.462,-14.196,-13.519,-0.095,0.792,-0.486,0.854,1.404,-0.031,80.0,4108.0,1.0
12,-25.527,-29.431,-32.092,-17.528,-19.659,-25.597,-13.714,-12.2,-0.096,0.789,-0.488,0.916,1.465,-0.061,80.0,4109.0,1.0
13,-26.638,-30.412,-32.87,-18.495,-20.775,-25.69,-13.648,-11.798,-0.094,0.79,-0.487,0.885,1.404,-0.031,80.0,4110.0,1.0
14,-26.848,-31.12,-32.948,-18.726,-21.676,-25.666,-13.965,-12.037,-0.093,0.791,-0.489,1.007,1.343,-0.031,80.0,4111.0,1.0
15,-26.348,-31.49,-32.379,-17.487,-21.891,-25.608,-14.573,-12.428,-0.094,0.792,-0.485,1.038,1.343,-0.061,80.0,4112.0,1.0
16,-25.184,-31.388,-31.257,-15.048,-21.276,-25.632,-15.384,-12.679,-0.094,0.792,-0.483,1.038,1.282,-0.061,80.0,4113.0,1.0
17,-23.756,-30.908,-29.874,-13.164,-20.246,-25.787,-16.401,-13.112,-0.094,0.793,-0.482,1.007,1.221,-0.183,80.0,4114.0,1.0
18,-22.797,-30.336,-28.662,-13.646,-19.519,-26.011,-17.549,-14.283,-0.093,0.795,-0.484,1.007,1.221,-0.214,80.0,4115.0,1.0
19,-22.616,-29.776,-27.854,-16.573,-19.433,-26.191,-18.485,-16.151,-0.094,0.793,-0.487,1.038,1.282,-0.305,80.0,4116.0,1.0
